source_row,split,target
1,model_development,Dropout
2,model_development,Graduate
3,historical_holdout,Dropout
4,model_development,Graduate
5,model_development,Graduate
6,model_development,Graduate
7,model_development,Graduate
8,policy_validation,Dropout
9,model_development,Graduate
10,policy_validation,Dropout
11,model_development,Graduate
12,model_development,Graduate
13,model_development,Dropout
14,policy_validation,Graduate
15,model_development,Graduate
16,model_development,Dropout
17,model_development,Enrolled
18,model_development,Graduate
19,historical_holdout,Graduate
20,model_development,Enrolled
21,policy_validation,Graduate
22,historical_holdout,Enrolled
23,model_development,Graduate
24,model_development,Graduate
25,model_development,Graduate
26,policy_validation,Enrolled
27,historical_holdout,Graduate
28,policy_validation,Enrolled
29,model_development,Graduate
30,model_development,Enrolled
31,historical_holdout,Enrolled
32,historical_holdout,Graduate
33,model_development,Enrolled
34,model_development,Graduate
35,model_development,Graduate
36,model_development,Dropout
37,model_development,Dropout
38,historical_holdout,Dropout
39,model_development,Graduate
40,model_development,Dropout
41,model_development,Dropout
42,historical_holdout,Graduate
43,model_development,Graduate
44,model_development,Dropout
45,policy_validation,Dropout
46,policy_validation,Enrolled
47,model_development,Graduate
48,model_development,Graduate
49,model_development,Graduate
50,model_development,Graduate
51,model_development,Graduate
52,policy_validation,Enrolled
53,historical_holdout,Enrolled
54,model_development,Graduate
55,historical_holdout,Dropout
56,model_development,Graduate
57,historical_holdout,Dropout
58,model_development,Dropout
59,model_development,Graduate
60,policy_validation,Enrolled
61,model_development,Graduate
62,model_development,Graduate
63,model_development,Enrolled
64,model_development,Enrolled
65,model_development,Enrolled
66,model_development,Dropout
67,model_development,Graduate
68,model_development,Graduate
69,policy_validation,Dropout
70,model_development,Enrolled
71,policy_validation,Enrolled
72,model_development,Graduate
73,policy_validation,Dropout
74,model_development,Dropout
75,historical_holdout,Graduate
76,historical_holdout,Dropout
77,historical_holdout,Dropout
78,historical_holdout,Graduate
79,policy_validation,Graduate
80,policy_validation,Graduate
81,model_development,Dropout
82,model_development,Dropout
83,model_development,Dropout
84,model_development,Enrolled
85,historical_holdout,Graduate
86,historical_holdout,Graduate
87,model_development,Graduate
88,model_development,Graduate
89,policy_validation,Enrolled
90,historical_holdout,Enrolled
91,model_development,Dropout
92,model_development,Graduate
93,historical_holdout,Dropout
94,model_development,Dropout
95,model_development,Graduate
96,model_development,Enrolled
97,model_development,Graduate
98,model_development,Graduate
99,model_development,Enrolled
100,model_development,Dropout
101,model_development,Dropout
102,model_development,Graduate
103,model_development,Dropout
104,policy_validation,Graduate
105,model_development,Dropout
106,model_development,Graduate
107,model_development,Dropout
108,policy_validation,Dropout
109,historical_holdout,Dropout
110,model_development,Enrolled
111,model_development,Graduate
112,model_development,Enrolled
113,model_development,Graduate
114,model_development,Graduate
115,model_development,Dropout
116,model_development,Enrolled
117,model_development,Enrolled
118,model_development,Enrolled
119,model_development,Graduate
120,model_development,Graduate
121,model_development,Dropout
122,model_development,Graduate
123,historical_holdout,Dropout
124,policy_validation,Graduate
125,model_development,Graduate
126,model_development,Dropout
127,model_development,Graduate
128,model_development,Enrolled
129,model_development,Graduate
130,model_development,Graduate
131,model_development,Dropout
132,policy_validation,Graduate
133,model_development,Graduate
134,historical_holdout,Dropout
135,model_development,Graduate
136,model_development,Dropout
137,model_development,Graduate
138,model_development,Graduate
139,historical_holdout,Enrolled
140,policy_validation,Graduate
141,model_development,Graduate
142,policy_validation,Graduate
143,model_development,Enrolled
144,policy_validation,Graduate
145,historical_holdout,Graduate
146,model_development,Graduate
147,model_development,Dropout
148,model_development,Dropout
149,policy_validation,Graduate
150,model_development,Graduate
151,historical_holdout,Enrolled
152,policy_validation,Graduate
153,policy_validation,Enrolled
154,model_development,Graduate
155,policy_validation,Dropout
156,policy_validation,Dropout
157,historical_holdout,Graduate
158,model_development,Graduate
159,model_development,Graduate
160,model_development,Graduate
161,policy_validation,Dropout
162,model_development,Graduate
163,policy_validation,Graduate
164,model_development,Dropout
165,policy_validation,Graduate
166,model_development,Graduate
167,policy_validation,Enrolled
168,historical_holdout,Graduate
169,historical_holdout,Graduate
170,policy_validation,Dropout
171,model_development,Enrolled
172,policy_validation,Graduate
173,model_development,Graduate
174,model_development,Graduate
175,model_development,Dropout
176,model_development,Enrolled
177,historical_holdout,Graduate
178,model_development,Dropout
179,policy_validation,Dropout
180,model_development,Dropout
181,model_development,Graduate
182,model_development,Enrolled
183,historical_holdout,Dropout
184,model_development,Dropout
185,model_development,Dropout
186,policy_validation,Dropout
187,historical_holdout,Enrolled
188,model_development,Graduate
189,model_development,Dropout
190,historical_holdout,Graduate
191,model_development,Graduate
192,historical_holdout,Enrolled
193,policy_validation,Dropout
194,policy_validation,Dropout
195,policy_validation,Graduate
196,policy_validation,Dropout
197,model_development,Graduate
198,model_development,Dropout
199,model_development,Graduate
200,historical_holdout,Enrolled
201,model_development,Graduate
202,historical_holdout,Graduate
203,policy_validation,Graduate
204,model_development,Graduate
205,model_development,Graduate
206,historical_holdout,Graduate
207,model_development,Graduate
208,policy_validation,Graduate
209,historical_holdout,Graduate
210,policy_validation,Dropout
211,model_development,Graduate
212,model_development,Graduate
213,policy_validation,Graduate
214,policy_validation,Dropout
215,historical_holdout,Graduate
216,historical_holdout,Enrolled
217,historical_holdout,Graduate
218,historical_holdout,Dropout
219,model_development,Dropout
220,policy_validation,Dropout
221,model_development,Graduate
222,model_development,Graduate
223,policy_validation,Dropout
224,policy_validation,Graduate
225,model_development,Graduate
226,model_development,Graduate
227,historical_holdout,Graduate
228,model_development,Graduate
229,model_development,Dropout
230,model_development,Graduate
231,historical_holdout,Graduate
232,policy_validation,Dropout
233,model_development,Graduate
234,historical_holdout,Graduate
235,model_development,Dropout
236,model_development,Graduate
237,model_development,Graduate
238,model_development,Graduate
239,model_development,Dropout
240,model_development,Dropout
241,policy_validation,Enrolled
242,model_development,Enrolled
243,historical_holdout,Graduate
244,policy_validation,Dropout
245,historical_holdout,Graduate
246,historical_holdout,Graduate
247,policy_validation,Graduate
248,model_development,Dropout
249,historical_holdout,Graduate
250,model_development,Graduate
251,model_development,Enrolled
252,model_development,Dropout
253,historical_holdout,Graduate
254,policy_validation,Enrolled
255,policy_validation,Graduate
256,model_development,Dropout
257,historical_holdout,Graduate
258,model_development,Enrolled
259,policy_validation,Graduate
260,model_development,Dropout
261,historical_holdout,Graduate
262,model_development,Dropout
263,model_development,Dropout
264,model_development,Graduate
265,model_development,Graduate
266,model_development,Graduate
267,model_development,Graduate
268,model_development,Graduate
269,model_development,Graduate
270,model_development,Graduate
271,policy_validation,Graduate
272,model_development,Dropout
273,model_development,Graduate
274,historical_holdout,Graduate
275,historical_holdout,Graduate
276,model_development,Graduate
277,policy_validation,Dropout
278,model_development,Dropout
279,historical_holdout,Enrolled
280,model_development,Graduate
281,model_development,Graduate
282,model_development,Graduate
283,model_development,Graduate
284,policy_validation,Graduate
285,model_development,Graduate
286,model_development,Graduate
287,historical_holdout,Enrolled
288,policy_validation,Graduate
289,model_development,Graduate
290,historical_holdout,Graduate
291,policy_validation,Graduate
292,historical_holdout,Graduate
293,policy_validation,Enrolled
294,model_development,Graduate
295,model_development,Dropout
296,historical_holdout,Graduate
297,model_development,Graduate
298,model_development,Graduate
299,model_development,Graduate
300,model_development,Graduate
301,historical_holdout,Graduate
302,model_development,Graduate
303,policy_validation,Graduate
304,policy_validation,Dropout
305,model_development,Dropout
306,model_development,Enrolled
307,policy_validation,Graduate
308,policy_validation,Dropout
309,historical_holdout,Graduate
310,historical_holdout,Dropout
311,policy_validation,Graduate
312,model_development,Dropout
313,policy_validation,Graduate
314,model_development,Graduate
315,model_development,Dropout
316,model_development,Graduate
317,policy_validation,Graduate
318,model_development,Graduate
319,model_development,Graduate
320,model_development,Enrolled
321,model_development,Dropout
322,model_development,Graduate
323,model_development,Graduate
324,historical_holdout,Graduate
325,model_development,Enrolled
326,model_development,Graduate
327,model_development,Graduate
328,model_development,Graduate
329,model_development,Enrolled
330,model_development,Enrolled
331,historical_holdout,Enrolled
332,historical_holdout,Dropout
333,model_development,Graduate
334,historical_holdout,Graduate
335,model_development,Graduate
336,historical_holdout,Graduate
337,model_development,Graduate
338,policy_validation,Graduate
