threshold,precision,recall,f2,review_rate,review_count,tp,fn,fp,tn
0.05,0.3219954648526077,1.0,0.7036669970267592,0.9966101694915255,882,284,0,598,3
0.06,0.33690476190476193,0.9964788732394366,0.7160931174089069,0.9491525423728814,840,283,1,557,44
0.07,0.35621761658031087,0.9683098591549296,0.7206498951781971,0.8723163841807909,772,275,9,497,104
0.08,0.3814147018030513,0.9683098591549296,0.7404415724286484,0.8146892655367232,721,275,9,446,155
0.09,0.4035608308605341,0.9577464788732394,0.7513812154696132,0.7615819209039548,674,272,12,402,199
0.1,0.424483306836248,0.9401408450704225,0.7563739376770539,0.7107344632768362,629,267,17,362,239
0.11,0.43812709030100333,0.9225352112676056,0.7554786620530565,0.6757062146892655,598,262,22,336,265
0.12,0.4562937062937063,0.9190140845070423,0.7640515222482436,0.6463276836158192,572,261,23,311,290
0.13,0.4716636197440585,0.9084507042253521,0.7664884135472371,0.6180790960451977,547,258,26,289,312
0.14,0.48484848484848486,0.9014084507042254,0.7692307692307693,0.5966101694915255,528,256,28,272,329
0.15,0.49320388349514566,0.8943661971830986,0.7692307692307693,0.5819209039548022,515,254,30,261,340
0.16,0.501002004008016,0.8802816901408451,0.764525993883792,0.5638418079096045,499,250,34,249,352
0.17,0.5133470225872689,0.8802816901408451,0.7701786814540974,0.5502824858757062,487,250,34,237,364
0.18,0.524416135881104,0.8697183098591549,0.7685127566894835,0.5322033898305085,471,247,37,224,377
0.19,0.5359477124183006,0.8661971830985915,0.7711598746081505,0.5186440677966102,459,246,38,213,388
0.2,0.5472972972972973,0.8556338028169014,0.7689873417721519,0.5016949152542373,444,243,41,201,400
0.21,0.5568445475638051,0.8450704225352113,0.7657945118059988,0.48700564971751414,431,240,44,191,410
0.22,0.5626477541371159,0.8380281690140845,0.7633098139833226,0.47796610169491527,423,238,46,185,416
0.23,0.573170731707317,0.8274647887323944,0.7600258732212161,0.4632768361581921,410,235,49,175,426
0.24,0.5810473815461347,0.8204225352112676,0.7579700715679896,0.45310734463276836,401,233,51,168,433
0.25,0.5877862595419847,0.8133802816901409,0.7553956834532374,0.4440677966101695,393,231,53,162,439
0.26,0.6074270557029178,0.8063380281690141,0.7567746199603437,0.42598870056497173,377,229,55,148,453
0.27,0.6191780821917808,0.795774647887324,0.7528314457028648,0.4124293785310734,365,226,58,139,462
0.28,0.6271186440677966,0.7816901408450704,0.7449664429530202,0.4,354,222,62,132,469
0.29,0.6384839650145773,0.7711267605633803,0.7403651115618661,0.38757062146892657,343,219,65,124,477
0.3,0.6477611940298508,0.7640845070422535,0.7375934738273283,0.3785310734463277,335,217,67,118,483
0.31,0.6534954407294833,0.7570422535211268,0.7337883959044369,0.37175141242937854,329,215,69,114,487
0.32,0.6635514018691588,0.75,0.7309540150995195,0.36271186440677966,321,213,71,108,493
0.33,0.6753246753246753,0.7323943661971831,0.7202216066481995,0.3480225988700565,308,208,76,100,501
0.34,0.6868686868686869,0.7183098591549296,0.7117934403349616,0.33559322033898303,297,204,80,93,508
0.35,0.6917808219178082,0.7112676056338029,0.7072829131652661,0.32994350282485874,292,202,82,90,511
0.36,0.6944444444444444,0.704225352112676,0.702247191011236,0.3254237288135593,288,200,84,88,513
0.37,0.7,0.6901408450704225,0.692090395480226,0.3163841807909605,280,196,88,84,517
0.38,0.7007299270072993,0.676056338028169,0.6808510638297872,0.3096045197740113,274,192,92,82,519
0.39,0.7169811320754716,0.6690140845070423,0.6780870806566738,0.2994350282485876,265,190,94,75,526
0.4,0.7237354085603113,0.6549295774647887,0.6676238334529792,0.2903954802259887,257,186,98,71,530
0.41,0.7312252964426877,0.6514084507042254,0.665946724262059,0.2858757062146893,253,185,99,68,533
0.42,0.7368421052631579,0.6408450704225352,0.6579898770788142,0.2790960451977401,247,182,102,65,536
0.43,0.7489711934156379,0.6408450704225352,0.6598984771573604,0.2745762711864407,243,182,102,61,540
0.44,0.7468354430379747,0.6232394366197183,0.6445739257101238,0.2677966101694915,237,177,107,60,541
0.45,0.7478632478632479,0.6161971830985915,0.6386861313868614,0.26440677966101694,234,175,109,59,542
0.46,0.7631578947368421,0.6126760563380281,0.6378299120234604,0.2576271186440678,228,174,110,54,547
0.47,0.7623318385650224,0.5985915492957746,0.6254598969830758,0.2519774011299435,223,170,114,53,548
0.48,0.7636363636363637,0.5915492957746479,0.6194690265486725,0.24858757062146894,220,168,116,52,549
0.49,0.7757009345794392,0.5845070422535211,0.6148148148148148,0.24180790960451978,214,166,118,48,553
0.5,0.7772511848341233,0.5774647887323944,0.6087602078693393,0.2384180790960452,211,164,120,47,554
